file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total,ligand_name
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/9/PV-001700379032/269/placement/res269_7F16_receptor_only_PV-001700379032_168_2.pdb,-15.140799,6.0,2.0,0.333333,2,-0.8933880000000001,100,0,0,94.299146,PV-001700379032
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/14/PV-002571072385/269/placement/res269_7F16_receptor_only_PV-002571072385_41_10.pdb,-15.673892,6.0,4.0,0.5,2,-0.675629,100,0,0,96.150479,PV-002571072385
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/24/PV-002679704048/269/placement/res269_7F16_receptor_only_PV-002679704048_67_2.pdb,-15.475748,11.0,1.0,0.272727,2,-0.318571,100,0,0,98.478408,PV-002679704048
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/0/PV-003476110573/122/placement/res122_7F16_receptor_only_PV-003476110573_20_3.pdb,-15.535781,9.0,3.0,0.444444,2,-1.719191,100,0,0,97.189472,PV-003476110573
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/14/PV-004162311080/269/placement/res269_7F16_receptor_only_PV-004162311080_239_7.pdb,-15.850201,7.0,2.0,0.285714,2,-0.7748980000000001,100,0,0,94.660615,PV-004162311080
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/20/PV-004219895018/269/placement/res269_7F16_receptor_only_PV-004219895018_173_2.pdb,-15.217109,8.0,2.0,0.25,3,-1.096035,100,0,0,96.936856,PV-004219895018
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/10/PV-004240215777/269/placement/res269_7F16_receptor_only_PV-004240215777_172_38.pdb,-18.627045,9.0,2.0,0.333333,2,-1.464442,100,0,0,93.241846,PV-004240215777
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/10/PV-004240215781/269/placement/res269_7F16_receptor_only_PV-004240215781_172_38.pdb,-18.627045,9.0,2.0,0.333333,2,-1.464442,100,0,0,93.241846,PV-004240215781
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/18/PV-004250642905/269/placement/res269_7F16_receptor_only_PV-004250642905_98_2.pdb,-15.471061,11.0,5.0,0.272727,3,-1.955025,100,0,0,101.846641,PV-004250642905
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/33/PV-004283482601/122/placement/res122_7F16_receptor_only_PV-004283482601_143_3.pdb,-15.909327,10.0,4.0,0.3,2,-0.8389150000000001,100,0,0,99.551758,PV-004283482601
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/30/PV-004318485472/122/placement/res122_7F16_receptor_only_PV-004318485472_10_0.pdb,-15.853293,10.0,3.0,0.3,3,-0.169824,100,0,0,100.276883,PV-004318485472
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/24/PV-004337776654/122/placement/res122_7F16_receptor_only_PV-004337776654_5_2.pdb,-15.314097,10.0,4.0,0.3,2,-1.339481,100,0,0,99.646422,PV-004337776654
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/28/PV-004359981113/269/placement/res269_7F16_receptor_only_PV-004359981113_214_0.pdb,-16.067978,10.0,3.0,0.4,4,-1.686262,100,0,0,99.64576,PV-004359981113
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/28/PV-004359981114/269/placement/res269_7F16_receptor_only_PV-004359981114_214_0.pdb,-16.067978,10.0,3.0,0.4,4,-1.686262,100,0,0,99.64576,PV-004359981114
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/7/PV-004363072660/122/placement/res122_7F16_receptor_only_PV-004363072660_208_3.pdb,-17.372141,10.0,2.0,0.3,2,-1.4469949999999998,100,0,0,95.480864,PV-004363072660
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/5/PV-004375868397/269/placement/res269_7F16_receptor_only_PV-004375868397_169_0.pdb,-15.296307,7.0,3.0,0.285714,2,-1.992376,100,0,0,94.997031,PV-004375868397
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/26/PV-004386142981/122/placement/res122_7F16_receptor_only_PV-004386142981_228_3.pdb,-15.270707,10.0,3.0,0.4,2,-1.180542,100,0,0,98.948751,PV-004386142981
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/25/PV-004411779711/122/placement/res122_7F16_receptor_only_PV-004411779711_109_7.pdb,-15.966543,7.0,5.0,0.571429,2,-0.7461810000000001,100,0,0,97.858705,PV-004411779711
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004423095863/269/placement/res269_7F16_receptor_only_PV-004423095863_41_1.pdb,-16.253596,10.0,3.0,0.3,2,-0.741444,100,0,0,98.30496,PV-004423095863
